Start,Stop,Midpoint
"(106, 198)","(135, 150)","(121, 174)"
"(181, 134)","(246, 202)","(208, 174)"
"(165, 117)","(69, 125)","(90, 159)"
"(57, 215)","(116, 230)","(109, 216)"
"(147, 25)","(105, 160)","(105, 179)"
"(157, 37)","(57, 230)","(98, 124)"
"(100, 142)","(42, 243)","(77, 198)"
"(4, 94)","(17, 198)","(12, 144)"
"(130, 226)","(58, 21)","(83, 135)"
"(81, 99)","(76, 67)","(77, 85)"
"(187, 199)","(193, 234)","(190, 216)"
"(177, 124)","(245, 141)","(211, 132)"
"(20, 125)","(192, 86)","(98, 98)"
"(28, 7)","(106, 89)","(50, 65)"
"(74, 50)","(185, 5)","(137, 35)"
"(162, 244)","(26, 68)","(103, 147)"
"(91, 158)","(122, 50)","(111, 109)"
"(181, 222)","(206, 170)","(192, 195)"
"(93, 177)","(216, 139)","(166, 170)"
"(150, 41)","(246, 56)","(198, 48)"
"(133, 142)","(200, 180)","(153, 174)"
"(53, 227)","(197, 152)","(112, 177)"
"(139, 81)","(46, 116)","(93, 99)"
"(203, 32)","(134, 72)","(158, 41)"
"(150, 110)","(81, 28)","(127, 58)"
"(55, 147)","(236, 242)","(159, 181)"
"(156, 237)","(31, 207)","(99, 217)"
"(203, 169)","(143, 63)","(188, 101)"
"(181, 103)","(4, 159)","(101, 139)"
"(82, 6)","(137, 64)","(124, 20)"
"(54, 134)","(245, 103)","(155, 124)"
"(16, 23)","(212, 28)","(115, 24)"
"(38, 163)","(173, 48)","(111, 111)"
"(115, 43)","(49, 105)","(70, 62)"
"(16, 184)","(202, 79)","(98, 121)"
"(162, 35)","(10, 249)","(82, 138)"
"(221, 133)","(253, 182)","(244, 150)"
"(176, 107)","(61, 69)","(109, 98)"
"(78, 129)","(162, 25)","(130, 87)"
"(54, 108)","(200, 229)","(129, 166)"
"(206, 144)","(203, 208)","(205, 176)"
"(37, 69)","(116, 197)","(82, 127)"
"(9, 231)","(78, 122)","(57, 190)"
"(226, 172)","(171, 25)","(197, 100)"
"(27, 178)","(223, 251)","(115, 224)"
"(50, 169)","(197, 174)","(121, 174)"
"(111, 59)","(234, 180)","(189, 103)"
"(16, 148)","(236, 140)","(129, 147)"
"(247, 45)","(240, 156)","(247, 104)"
"(100, 199)","(58, 95)","(83, 143)"
"(235, 159)","(128, 225)","(170, 180)"
"(214, 186)","(230, 193)","(219, 192)"
"(32, 57)","(77, 77)","(53, 68)"
"(237, 37)","(124, 227)","(199, 150)"
"(80, 34)","(251, 134)","(163, 86)"
"(131, 13)","(254, 4)","(193, 9)"
"(60, 149)","(218, 221)","(148, 176)"
"(222, 157)","(243, 43)","(225, 93)"
"(234, 225)","(55, 65)","(124, 166)"
"(157, 10)","(148, 13)","(151, 10)"
"(90, 231)","(36, 156)","(75, 182)"
"(63, 13)","(7, 182)","(34, 96)"
"(4, 191)","(194, 139)","(80, 146)"
"(27, 188)","(214, 52)","(111, 111)"
"(156, 83)","(192, 154)","(189, 103)"
"(19, 53)","(52, 245)","(26, 158)"
"(200, 169)","(250, 54)","(216, 103)"
"(2, 114)","(127, 148)","(67, 128)"
"(96, 166)","(26, 139)","(57, 157)"
"(186, 86)","(188, 215)","(188, 149)"
"(28, 215)","(119, 172)","(63, 183)"
"(210, 78)","(226, 124)","(220, 99)"
"(92, 179)","(160, 125)","(116, 142)"
"(162, 128)","(9, 97)","(90, 108)"
"(40, 172)","(41, 196)","(40, 184)"
"(14, 137)","(179, 144)","(98, 139)"
"(247, 79)","(8, 140)","(114, 96)"
"(130, 254)","(87, 139)","(107, 198)"
"(36, 78)","(16, 97)","(31, 92)"
"(40, 201)","(237, 206)","(138, 204)"
"(154, 177)","(154, 37)","(154, 108)"
"(113, 121)","(140, 122)","(126, 122)"
"(42, 207)","(206, 51)","(109, 114)"
"(14, 140)","(109, 1)","(56, 65)"
"(151, 200)","(100, 237)","(131, 224)"
"(103, 209)","(197, 111)","(160, 170)"
"(131, 152)","(48, 210)","(100, 191)"
"(217, 245)","(7, 173)","(118, 203)"
"(168, 0)","(32, 186)","(114, 107)"
"(187, 135)","(116, 180)","(163, 169)"
"(161, 59)","(252, 115)","(190, 103)"
"(241, 130)","(166, 137)","(201, 131)"
"(52, 47)","(22, 81)","(42, 69)"
"(7, 6)","(129, 40)","(71, 20)"
"(47, 71)","(243, 222)","(125, 166)"
"(1, 251)","(247, 67)","(92, 127)"
"(92, 250)","(164, 174)","(129, 213)"
"(184, 80)","(215, 243)","(203, 158)"
"(145, 171)","(165, 41)","(150, 101)"
"(39, 14)","(109, 218)","(77, 113)"
"(108, 103)","(18, 128)","(55, 107)"
"(142, 106)","(233, 185)","(173, 160)"
"(149, 19)","(49, 139)","(102, 82)"
"(229, 67)","(48, 123)","(139, 95)"
"(144, 168)","(63, 169)","(103, 168)"
"(43, 130)","(192, 200)","(117, 165)"
"(50, 8)","(77, 248)","(77, 114)"
"(224, 95)","(41, 190)","(104, 114)"
"(210, 35)","(55, 213)","(116, 107)"
"(118, 11)","(122, 137)","(115, 76)"
"(80, 73)","(111, 216)","(87, 153)"
"(153, 82)","(171, 195)","(162, 138)"
"(129, 33)","(127, 91)","(128, 62)"
"(6, 247)","(201, 143)","(99, 191)"
"(42, 212)","(65, 66)","(54, 140)"
"(138, 208)","(103, 50)","(108, 142)"
"(185, 143)","(125, 193)","(157, 170)"
"(188, 41)","(51, 234)","(99, 117)"
"(72, 224)","(74, 59)","(76, 142)"
"(96, 201)","(190, 118)","(153, 170)"
"(226, 20)","(32, 82)","(133, 55)"
"(136, 107)","(10, 118)","(68, 107)"
"(243, 26)","(210, 186)","(228, 107)"
"(64, 188)","(37, 61)","(48, 127)"
"(120, 216)","(91, 34)","(99, 132)"
"(213, 23)","(46, 20)","(128, 23)"
"(86, 46)","(34, 70)","(56, 54)"
"(8, 84)","(128, 70)","(72, 81)"
"(187, 62)","(209, 223)","(199, 141)"
"(226, 139)","(244, 216)","(231, 181)"
"(59, 115)","(80, 255)","(75, 179)"
"(40, 69)","(35, 245)","(36, 155)"
"(76, 232)","(254, 65)","(167, 151)"
"(239, 40)","(81, 122)","(152, 73)"
"(120, 74)","(161, 47)","(143, 63)"
"(106, 152)","(39, 87)","(76, 116)"
"(147, 90)","(230, 155)","(190, 121)"
"(50, 60)","(57, 224)","(52, 143)"
"(14, 184)","(29, 128)","(28, 163)"
"(94, 221)","(65, 184)","(78, 204)"
"(217, 12)","(126, 135)","(152, 54)"
"(144, 116)","(234, 78)","(195, 103)"
"(237, 4)","(5, 202)","(121, 103)"
"(51, 238)","(208, 119)","(140, 189)"
"(177, 137)","(32, 37)","(100, 92)"
"(191, 233)","(237, 48)","(227, 154)"
"(185, 118)","(163, 100)","(177, 106)"
"(189, 85)","(251, 143)","(208, 126)"
"(14, 92)","(238, 237)","(124, 166)"
"(35, 109)","(157, 25)","(105, 76)"
"(88, 142)","(138, 103)","(104, 114)"
"(30, 161)","(110, 177)","(74, 165)"
"(25, 232)","(9, 191)","(21, 208)"
"(144, 43)","(54, 147)","(89, 85)"
"(125, 220)","(31, 2)","(77, 112)"
"(128, 29)","(184, 145)","(160, 83)"
"(53, 89)","(112, 224)","(86, 153)"
"(236, 220)","(245, 164)","(243, 195)"
"(62, 203)","(252, 55)","(124, 96)"
"(30, 61)","(42, 62)","(35, 62)"
"(41, 237)","(227, 52)","(103, 114)"
"(168, 31)","(160, 91)","(165, 62)"
"(13, 66)","(229, 139)","(125, 98)"
"(25, 186)","(194, 92)","(97, 127)"
"(48, 75)","(33, 238)","(36, 152)"
"(97, 208)","(224, 186)","(163, 200)"
"(254, 60)","(153, 43)","(207, 48)"
"(42, 247)","(89, 118)","(68, 185)"
"(157, 9)","(120, 161)","(147, 93)"
"(195, 245)","(32, 131)","(135, 167)"
"(130, 7)","(187, 45)","(143, 41)"
"(130, 60)","(64, 203)","(93, 127)"
"(119, 97)","(66, 199)","(83, 138)"
"(234, 129)","(3, 28)","(105, 92)"
"(173, 135)","(31, 91)","(113, 100)"
"(93, 6)","(239, 159)","(163, 85)"
"(111, 11)","(180, 39)","(135, 35)"
